ATC,DB,Farmaco
N06DA02,DB00843,DONEPECILO
C01CA04,DB00988,DOPAMINA
J05AG06,DB12301,DORAVIRINA
J05AR24,DB12301,DORAVIRINA/LAMIVUDINA/TENOFOVIR
S01EC03,DB00869,DORZOLAMIDA
S01ED01,DB00869,DORZOLAMIDA/TIMOLOL
J01AA02,DB00254,DOXICICLINA
L01DB01,DB00997,DOXORRUBICINA
A10BJ05,DB09045,DULAGLUTIDA
N06AX21,DB00476,DULOXETINA
D11AH05,DB12159,DUPILUMAB
L01FF03,DB11714,DURVALUMAB
G04CB02,DB01126,DUTASTERIDA
G04CA52,DB01126,DUTASTERIDA/TAMSULOSINA
J05AG03,DB00625,EFAVIRENZ
J05AR06,DB00625,EFAVIRENZ/EMTRICITABINA/TENOFOVIR
C01CA26,DB01364,EFEDRINA
N02CC06,DB00216,ELETRIPTAN
A16AB12,DB09051,ELOSULFASA ALFA
B02BX05,DB06210,ELTROMBOPAG
B02BX06,DB13923,EMICIZUMAB
A10BK03,DB09038,EMPAGLIFLOZINA
A10BD19,DB09038,EMPAGLIFLOZINA/LINAGLIPTINA
A10BD20,DB09038,EMPAGLIFLOZINA/METFORMINA
J05AR17,DB00879,EMTRICITABINA/TENOFOVIR ALAFENAMIDA
J05AR03,DB00879,EMTRICITABINA/TENOFOVIR DISOPROXIL
C09AA02,DB00584,ENALAPRIL
C09BA02,DB00584,ENALAPRIL/HIDROCLOROTIAZIDA
L01EC03,DB11718,ENCORAFENIB
L01FX13,DB13007,ENFORTUMAB VEDOTINA
B01AB05,DB01225,ENOXAPARINA
N04BX02,DB00494,ENTACAPONA/LEVODOPA/CARBIDOPA
J05AF10,DB00442,ENTECAVIR
L02BB04,DB08899,ENZALUTAMIDA
A09A,DB00085,ENZIMAS PANCREATICAS/DIMETICONA
R01AC03,DB00751,EPINASTINA
C01CA24,DB00668,EPINEFRINA
L01DB03,DB00445,EPIRUBICINA
C03DA04,DB00700,EPLERENONA
B02BD08,DB00036,EPTACOG ALFA
R05CB15,DB05057,ERDOSTEINA
G02AB03,DB01253,ERGOMETRINA
N02CA52,DB00696,ERGOTAMINA/CAFEINA
L01XX41,DB08871,ERIBULINA
J01FA01,DB00199,ERITROMICINA
B03XA01,DB19197,ERITROPOYETINA
L01EB02,DB00530,ERLOTINIB
J01DH03,DB00303,ERTAPENEM
N06AB10,DB01175,ESCITALOPRAM
N01AX14,DB11823,ESKETAMINA
C07AB09,DB00187,ESMOLOL
A02BC05,DB00736,ESOMEPRAZOL
L04AC22,DB15626,ESPESOLIMAB
C03DA01,DB00421,ESPIRONOLACTONA
G03HB01,DB13954,ESTRADIOL/CIPROTERONA
G03FA17,DB01395,ESTRADIOL/DROSPIRENONA
G03FA01,DB00717,ESTRADIOL/NORETISTERONA
G03FA15,DB13956,ESTRADIOL/TRIMEGESTERONA
G03CA03,DB13956,ESTRADIOL/VALERATO
J01GA01,DB01082,ESTREPTOMICINA
B01AD01,DB00086,ESTREPTOQUINASA
G03CA04,DB04573,ESTRIOL
G03CA57,DB00286,ESTROGENOS CONJUGADOS
G03FA12,DB00286,ESTROGENOS CONJUGADOS/MEDROXIPROGESTERONA
J04AK02,DB00330,ETAMBUTOL
B02BX01,DB13483,ETAMSILATO
L04AB01,DB00005,ETANERCEPT
M01AB08,DB08984,ETOFENAMATO
N01AX07,DB00292,ETOMIDATO
G03AC08,DB00294,ETONOGESTREL
L01CB01,DB00773,ETOPOSIDO
M01AH05,DB01628,ETORICOXIB
J05AG04,DB06414,ETRAVIRINA
L01EG02,DB01590,EVEROLIMUS
C10AX13,DB09303,EVOLOCUMAB
L02BG06,DB00990,EXEMESTANO
C10AX09,DB00973,EZETIMIBA
C10BA02,DB00641,EZETIMIBA/SIMVASTATINA
B02BD02,DB09329,FACTOR ANTIHEMOFILICO HUMANO
L03AX ,DB06244,FACTOR DE CRECIMIENTO EPIDERMICO HUMANO RECOMBINANTE (FCEHR)
B02BD04,DB00100,FACTOR IX O NONACOG ALFA
B02BD02 ,DB11607,FACTOR VIII DE LA COAGULACION HUMANO
B02BD06,DB11607,FACTOR VIII DE LA COAGULACION SANGUINEA HUMANO/FACTOR DE VON WILLEBRAND
B02BD13,DB13148,FACTOR X DE COAGULACION HUMANO
A02BA03,DB00927,FAMOTIDINA
N07XX07,DB06637,FAMPRIDINA
S01LA09,DB15303,FARICIMAB
C08CA02,DB01023,FELODIPINO
G04BX06,DB01438,FENAZOPIRIDINA
R01AA04,DB00388,FENILEFRINA
N03AB02,DB00252,FENITOINA
N03AA02,DB01174,FENOBARBITAL
C10AB05,DB01039,FENOFIBRATO
N02AB03,DB00813,FENTANILO
R06AX26,DB00950,FEXOFENADINA
G02CX06,DB15669,FEZOLINETANT
B02BB01,DB09222,FIBRINOGENO HUMANO
L03AA02,DB00099,FILGRASTIM
G04CB01,DB01216,FINASTERIDA
C03DA05,DB16165,FINERENONA
L04AA27,DB08868,FINGOLIMOD
B02BA01,DB01022,FITOMENADIONA
C01BC04,DB01195,FLECAINIDA
J02AC01,DB00196,FLUCONAZOL
L01BB05,DB01073,FLUDARABINA
H02AA02,DB00687,FLUDROCORTISONA
V03AB25,DB01205,FLUMAZENIL
N07CA03,DB04841,FLUNARIZINA
N05CD03,DB01544,FLUNITRAZEPAM
D07AC04,DB00591,FLUOCINOLONA
J01XD01,DB00591,FLUOCINOLONA/NISTATINA/METRONIDAZOL
S01BA07,DB00324,FLUOROMETOLONA
L01BC02,DB00544,FLUOROURACILO
N06AB03,DB00472,FLUOXETINA
N05AF01,DB00875,FLUPENTIXOL
L02BB01,DB00499,FLUTAMIDA
R01AD08,DB13867,FLUTICASONA
R03AL08,DB13867,FLUTICASONA/UMECLIDINIO/VILANTEROL
R03AK10,DB13867,FLUTICASONA/VILANTEROL
G03GA05,DB00066,FOLITROPINA ALFA
G03GA30,DB00066,FOLITROPINA ALFA/LUTROPINA ALFA
G03GA06,DB00066,FOLITROPINA BETA
B01AX05,DB00569,FONDAPARINUX
R03AC13,DB00983,FORMOTEROL
A04AD15,DB06717,FOSAPREPITANT
A06A,DB09449,FOSFATO Y CITRATO DE SODIO
R07A,DB06415,FOSFOLIPIDOS DE PULMON PORCINO
J01XX01,DB00828,FOSFOMICINA
J05AX28,DB11796,FOSTEMSAVIR
L01EK04,DB11679,FRUQUINTINIB
L02BA03,DB00947,FULVESTRANT
B03AA02,DB14491,FUMARATO FERROSO
C03CA01,DB00695,FUROSEMIDA
N03AX12,DB00996,GABAPENTINA
N06DA04,DB00674,GALANTAMINA
A16AB08,DB01279,GALSULFASA
J05AB06,DB01004,GANCICLOVIR
S01AA19,DB01044,GATIFLOXACINO
L01EB01,DB00317,GEFITINIB
